Date,Open,High,Low,Close,Volume
12/01/2023,"190.33","191.56","189.23","191.24","45,704,820"
11/30/2023,"189.84","190.32","188.19","189.95","48,794,367"
11/29/2023,"190.90","192.09","188.97","189.37","43,014,219"
11/28/2023,"189.78","191.08","189.40","190.40","38,415,422"
11/27/2023,"189.92","190.67","188.90","189.79","40,552,609"
11/24/2023,"190.87","190.90","189.25","189.97","24,048,340"
11/22/2023,"191.49","192.93","190.83","191.31","39,630,008"
11/21/2023,"191.41","191.52","189.74","190.64","38,134,488"
11/20/2023,"189.89","191.91","189.88","191.45","46,538,609"
11/17/2023,"190.25","190.38","188.57","189.69","50,941,398"
11/16/2023,"189.57","190.96","188.65","189.71","54,412,922"
11/15/2023,"187.85","189.50","187.78","188.01","53,790,500"
11/14/2023,"187.70","188.11","186.30","187.44","60,108,379"
11/13/2023,"185.82","186.03","184.21","184.80","43,627,520"
11/10/2023,"183.97","186.57","183.53","186.40","66,177,922"
11/09/2023,"182.96","184.12","181.81","182.41","53,763,539"
11/08/2023,"182.35","183.45","181.59","182.89","49,340,281"
11/07/2023,"179.18","182.44","178.97","181.82","70,529,969"
11/06/2023,"176.38","179.43","176.21","179.23","63,841,312"
11/03/2023,"174.24","176.82","173.35","176.65","79,829,250"
11/02/2023,"175.52","177.78","175.46","177.57","77,334,750"
11/01/2023,"171.00","174.23","170.12","173.97","56,934,910"
